unit_tax_list_id,unit_symbol_tax,unit_name_tax
211,ZM,"ZM-Int.bulk.cont,comp,flexi plast,soli"
212,ZN,"ZN-Int.bulk.cont,comp,rigid plast,pres"
213,ZP,"ZP-Int.bulk.cont,comp,flex plast,press"
214,ZQ,"ZQ-Int.bulk.cont,comp,rigid plast,liqu"
215,ZR,"ZR-Int.bulk.cont,comp,flex plast,liqui"
216,ZS,ZS-Intermediate bulk container
217,ZT,ZT-Intermediate bulk container
218,ZU,ZU-Intermediate bulk container
219,ZV,ZV-Intermediate bulk container
220,ZW,ZW-Intermediate bulk container
221,ZX,ZX-Intermediate bulk container
222,AA,AA-Intermediate bulk container
223,AB,AB-Receptacle
224,AC,AC-Receptacle
225,AD,AD-Receptacle
226,AE,AE-Aerosol
227,AF,AF-Pallet
228,AG,AG-Pallet
229,AH,AH-Pallet
230,AI,AI-Clamshell
231,AJ,AJ-Cone
232,AL,AL-Ball
233,AM,"AM-Ampoule, non protected"
234,AP,"AP-Ampoule, protected"
235,AT,AT-Atomizer
236,AV,AV-Capsule
237,BA,BA-Barrel
238,BB,BB-Bobbin
239,BC,BC-Bottle crate / bottle rack
240,BD,BD-Board
241,BE,BE-Bundle
242,BF,"BF-Ballon, non-protected"
243,BG,BG-Bag
244,BH,BH-Bunch
245,BI,BI-Bin
246,BJ,BJ-Bucket
247,BK,BK-Basket
248,BL,"BL-Bale, compressed"
249,BM,BM-Basin 5
250,BN,"BN-Bale, non compressed"
251,BO,"BO-Bottle, non protected, cylindrical"
252,BP,"BP-Ballon, protected"
253,BQ,"BQ-Bottle, protected cylindrical"
254,BR,BR-Bar
255,BS,"BS-Bottle, non protected, bulbous"
256,BT,BT-Bolt
257,BU,BU-Butt
258,BV,"BV-Bottle, protected bulbous"
259,BW,"BW-Box, for liquids"
260,BX,BX-Box 21 to
261,BY,"BY-Board, in bundle/bunch/truss"
262,BZ,"BZ-Bars, in bundle/bunch/truss"
263,CA,"CA-Can, rectangular"
264,CB,"CB-Crate, beer"
265,CC,CC-Churn
266,CD,"CD-Can, with handle and spout"
267,CE,CE-Creel
268,CF,CF-Coffer
269,CG,CG-Cage
270,CH,CH-Chest
271,CI,CI-Canister
272,CJ,CJ-Coffin
273,CK,CK-Cask
274,CL,CL-Coil
275,CM,CM-Card
276,CN,"CN-Container,nes as transport equipmen"
277,CO,"CO-Carboy, non-protected"
278,CP,"CP-Carboy, protected"
279,CQ,CQ-Cartridge
280,CR,CR-Crate
281,CS,CS-Case
282,CT,CT-Carton
283,CU,CU-Cup
284,CV,CV-Cover
285,CW,"CW-Cage, roll"
286,CX,"CX-Can, cylindrical"
287,CY,CY-Cylinder
288,CZ,CZ-Canvas
289,DA,"DA-Crate, multiple layer, plastic"
290,DB,"DB-Crate, multiple layer, wooden"
291,DC,DC-Crate
292,DG,"DG-Cage,commonwealth handlg equip pool"
293,DH,"DH-Box,commonwealth handlig equip pool"
294,DI,"DI-Drum, iron"
295,DJ,"DJ-Demijohn, non-protected"
296,DK,"DK-Crate, bulk, cardboard"
297,DL,"DL-Crate, bulk, plastic"
298,DM,"DM-Crate, bulk, wooden"
299,DN,DN-Dispenser
300,DP,"DP-Demijohn, protected"
301,DR,DR-Drum
302,DS,"DS-Tray, one layer no cover,plastic"
303,DT,"DT-Tray, one layer no cover, wooden"
304,DU,"DU-Tray, one layer no cover,polystyren"
305,DV,"DV-Tray, one layer no cover, cardboard"
306,DW,"DW-Tray,two layers no cover,platic tra"
307,DX,"DX-Tray, two layers no cover, wooden"
308,DY,"DY-Tray, two layers no cover,cardboard"
309,EC,"EC-Bag, plastic"
310,ED,"ED-Case, with pallet base"
311,EE,"EE-Case, with pallet base, wooden"
312,EF,"EF-Case, with pallet base, cardboard"
313,EG,"EG-Case, with pallet base, plastic"
314,EH,"EH-Case, with pallet base, metal"
315,EI,"EI-Case, isothermic"
316,EN,EN-Envelope
317,FB,FB-Flexibag
318,FC,"FC-Crate, friut"
319,FD,"FD-Crate, framed"
320,FE,FE-Flexitank
321,FI,FI-Firkin
322,FL,FL-Flask
323,FO,FO-Footlocker
324,FP,FP-Filmpack
325,FR,FR-Frame
326,FT,FT-Foodtainer
327,FW,FW-Cart
328,FX,FX-Bag
329,GB,"GB-Bottle, gas"
330,GI,GI-Girder
331,GL,GL-Container
332,GR,"GR-Receptable, glass"
333,GU,GU-Tray
334,GY,GY-Bag
335,GZ,"GZ-Girders, in bundle/bunch/truss"
336,HA,"HA-Basket, with handle, plastic"
337,HB,"HB-Basket, with handle, wooden"
338,HC,"HC-Basket, with handle, cardboard"
339,HG,HG-Hogshead
340,HN,HN-Hanger
341,HR,HR-Hamper
342,IA,"IA-Package, display, wooden"
343,IB,"IB-Package, display, cardboard"
344,IC,"IC-Package, display, plastic"
345,ID,"ID-Package, display, metal"
346,IE,"IE-Package, show"
347,IF,"IF-Package, flow"
348,IG,"IG-Package, paper wrapped"
349,IH,"IH-Drum, plastic"
350,IK,IK-Package
351,IL,IL-Tray
352,IN,IN-Ingot
353,IZ,"IZ-Ingots, in bundle/bunch/truss"
354,JB,JB-Bag
355,JC,"JC-Jerrican, rectangular"
356,JG,JG-Jug
357,JR,JR-Jar
358,JT,JT-Jute bag
359,JY,"JY-Jerrican, cylindrical"
360,KG,KG-Keg
361,KI,KI-Kit
362,LE,LE-Luggage
363,LG,LG-Log
364,LT,LT-Lot
365,LU,LU-Lug
366,LV,LV-Liftvan
367,LZ,"LZ-Logs, in bundle/bunch/truss"
368,MA,MA-Crate
369,MB,"MB-Bag, multiply"
370,MC,"MC-Crate, milk"
371,ME,ME-Container
372,MR,"MR-Receptable, metal"
373,MS,"MS-Sack, multi-wall"
374,MT,MT-Mat
375,MW,"MW-Receptable, plastic wrapped"
376,MX,MX-Matchbox
377,NA,NA-Not available
378,NE,NE-Unpacked or unpackaged
379,NF,NF-Unpacked or unpackaged
380,NG,NG-Unpacked or unpackaged
381,NS,NS-Nest
382,NT,NT-Net
383,NU,"NU-Net, tube, plastic"
384,NV,"NV-Net, tube, textile"
385,OA,OA-Pallet
386,OB,OB-Pallet
387,OC,OC-Pallet
388,OD,OD-Pallet
389,OE,OE-Pallet
390,OF,OF-Platform
391,OK,OK-Block
392,OT,OT-Octabin
393,OU,OU-Container
394,P2,P2-Pan
395,PA,PA-Packet
396,PB,"PB-Pallet, box"
397,PC,PC-Parcel
398,PD,"PD-Pallet, modular,collars 80cm*100cms"
399,PE,"PE-Pallet, modular,collars 80cm*120cms"
400,PF,PF-Pen
401,PG,PG-Plate
402,PH,PH-Pitcher
403,PI,PI-Pipe
404,PJ,PJ-Punnet
405,PK,PK-Package
406,PL,PL-Pail
407,PN,PN-Plank
408,PO,PO-Pouch
409,PP,PP-Piece
410,PR,"PR-Receptable, plastic"
411,PT,PT-Pot
412,PU,PU-Tray
413,PV,"PV-Pipes, in bundle/bunch/truss"
414,PX,PX-Pallet
415,PY,"PY-Plates, in bundle/bunch/truss"
416,PZ,"PZ-Planks, in bundle/bunch/truss"
417,QA,"QA-Drum,steel,non-removable head"
418,QB,"QB-Drum, steel, removable head"
419,QC,"QC-Drum,aluminium,non-removable head"
420,QD,"QD-Drum, aluminium, removable head"
421,QF,"QF-Drum, plastic, non-removable head"
422,QG,"QG-Drum, plastic, removable head"
423,QH,"QH-Barrel, wooden, bung type"
424,QJ,"QJ-Barrel, wooden, removable head"
425,QK,"QK-Jerrican, steel, non-removable head"
426,QL,"QL-Jerrican, steel, removable head"
427,QM,"QM-Jerrican,plastic,non-removable head"
428,QN,"QN-Jerrican, plastic, removable head"
429,QP,"QP-Box, wooden, natural wood, ordinary"
430,QQ,"QQ-Box,natural wood,with sift walls 5"
431,QR,"QR-Box, plastic, expanded"
432,QS,"QS-Box, plastic, solid"
433,RD,RD-Rod
434,RG,RG-Ring
435,RJ,"RJ-Rack, clothing hanger"
436,RK,RK-Rack
437,RL,RL-Reel
438,RO,RO-Roll
439,RT,RT-Rednet
440,RZ,"RZ-Rods, in bundle/bunch/truss"
441,SA,SA-Sack
442,SB,SB-Slab
443,SC,"SC-Crate, shallow"
444,SD,SD-Spindle
445,SE,SE-Sea-chest
446,SH,SH-Sachet
447,SI,SI-Skid
448,SK,"SK-Case, skeleton"
449,SL,SL-Slipsheet
450,SM,SM-Sheetmetal
451,SO,SO-Spool
452,SP,"SP-Sheet, plastic wrapping"
453,SS,SS-Case
454,ST,ST-Sheet
455,SU,SU-Suitcase
456,SV,SV-Envelope
457,SW,SW-Shrinkwrapped
458,SX,SX-Set
459,SY,SY-Sleeve
460,SZ,"SZ-Sheets, in bundle/bunch/truss"
461,T1,T1-Tablet
462,TB,TB-Tub
463,TC,TC-Tea-chest
464,TD,"TD-Tube, collapsible"
465,TE,TE-Tyre
466,TG,TG-Tank container
467,TI,TI-Tierce
468,TK,"TK-Tank, rectangular"
469,TL,TL-Tub
470,TN,TN-Tin
471,TO,TO-Tun
472,TR,TR-Trunk
473,TS,TS-Truss
474,TT,TT-Bag
475,TU,TU-Tube
476,TV,"TV-Tube, with nozzle"
477,TW,TW-Pallet
478,109,g
479,108,-
480,104,User per day of access
481,103,Kg
482,105,Minute
483,102,Litre
484,101,Stick
